text,label
Breaking: SBI का मुनाफा 15% घट गया!,0
आज Bharti Airtel ke results expectation se better aaye!,1
Bajaj Finance में बिकवाली का दबाव दिखा!,0
Breaking: Sun Pharma पर सेबी ने जुर्माना लगाया,0
"रिपोर्ट्स के अनुसार, Bajaj Finance ki aamdani me bhot badhotri hui",1
"रिपोर्ट्स के अनुसार, Adani Enterprises ko naya contract mila hai!",1
"रिपोर्ट्स के अनुसार, रिलायंस पर सेबी ने जुर्माना लगाया.",0
Experts ka manna hai ki रिलायंस ke results disappointing the।,0
Infosys ने निवेशकों को मालामाल किया!,1
आज Bharti Airtel ke results disappointing the.,0
Bajaj Finance par RBI ne strict action liya!,0
Experts ka manna hai ki टाटा मोटर्स में बिकवाली का दबाव दिखा।,0
आज एचडीएफसी ki aamdani me bhot badhotri hui!,1
"रिपोर्ट्स के अनुसार, Bajaj Finance ke profit me acchi growth aayi",1
Experts ka manna hai ki Sun Pharma ki aamdani me bhot badhotri hui।,1
L&T ने बाजार को सपोर्ट किया!,1
एसबीआई को बड़ा घाटा हुआ...,0
एचडीएफसी ke profits gir gaye hain is quarter me।,0
Breaking: Bharti Airtel ko naya contract mila hai!,1
Breaking: Infosys में बिकवाली का दबाव दिखा,0
SBI पर सेबी ने जुर्माना लगाया!,0
आज टाटा मोटर्स ke profit me acchi growth aayi।,1
"रिपोर्ट्स के अनुसार, टाटा मोटर्स me panic selling dekhne ko mili।",0
मार्केट ओपन होते ही ICICI Bank में भारी गिरावट दर्ज की गई...,0
रिलायंस ke results disappointing the.,0
Breaking: एसबीआई को भारी नुकसान हुआ!,0
Experts ka manna hai ki रिलायंस में जबरदस्त तेजी देखने को मिली!,1
Experts ka manna hai ki HDFC Bank में जबरदस्त तेजी देखने को मिली...,1
Mahindra & Mahindra ke results expectation se better aaye.,1
Tata Motors ko naya contract mila hai...,1
आज Reliance में जबरदस्त तेजी देखने को मिली।,1
रिलायंस को बड़ा घाटा हुआ...,0
"रिपोर्ट्स के अनुसार, Reliance को बड़ा प्रोजेक्ट मिला।",1
"रिपोर्ट्स के अनुसार, Sun Pharma में बिकवाली का दबाव दिखा।",0
मार्केट ओपन होते ही TCS ke results disappointing the...,0
Breaking: Maruti Suzuki ने बाजार को सपोर्ट किया!,1
मार्केट ओपन होते ही Adani Enterprises ने निवेशकों को मालामाल किया.,1
आज एसबीआई में आज अच्छी खरीददारी दिखी...,1
मार्केट ओपन होते ही HDFC Bank ki rating downgrade ki gayi.,0
Experts ka manna hai ki Infosys का स्टॉक धड़ाम हो गया.,0
रिलायंस ki rating downgrade ki gayi...,0
"रिपोर्ट्स के अनुसार, टाटा मोटर्स को भारी नुकसान हुआ!",0
मार्केट ओपन होते ही L&T ने निवेशकों को मालामाल किया,1
Bajaj Finance me panic selling dekhne ko mili...,0
एसबीआई me strong buying momentum hai।,1
आज इन्फोसिस me strong buying momentum hai,1
मार्केट ओपन होते ही HDFC Bank को बड़ा घाटा हुआ.,0
Experts ka manna hai ki एसबीआई के शेयर लुढ़क गए.,0
Experts ka manna hai ki SBI me strong buying momentum hai।,1
Experts ka manna hai ki HDFC Bank ke results disappointing the...,0
मार्केट ओपन होते ही Tata Motors का मुनाफा 20% बढ़ा.,1
Mahindra & Mahindra ko naya contract mila hai!,1
"रिपोर्ट्स के अनुसार, ITC के Q3 नतीजे शानदार रहे",1
ITC को बड़ा घाटा हुआ,0
Experts ka manna hai ki टाटा मोटर्स me panic selling dekhne ko mili!,0
"रिपोर्ट्स के अनुसार, SBI me bohot bekwali hui aaj",0
"रिपोर्ट्स के अनुसार, Sun Pharma के शेयर लुढ़क गए!",0
मार्केट ओपन होते ही एचडीएफसी के शेयर लुढ़क गए.,0
मार्केट ओपन होते ही एचडीएफसी ने बाजार को सपोर्ट किया,1
Sun Pharma me strong buying momentum hai!,1
आज टाटा मोटर्स ko naya contract mila hai...,1
आज Bharti Airtel me panic selling dekhne ko mili!,0
"रिपोर्ट्स के अनुसार, इन्फोसिस को बड़ा प्रोजेक्ट मिला।",1
मार्केट ओपन होते ही एसबीआई ke results disappointing the.,0
Experts ka manna hai ki Bajaj Finance ki rating downgrade ki gayi.,0
"रिपोर्ट्स के अनुसार, Reliance ke results expectation se better aaye.",1
Experts ka manna hai ki Bharti Airtel ki rating downgrade ki gayi!,0
Bharti Airtel ke shares crash ho gaye,0
मार्केट ओपन होते ही Infosys ne 52-week high touch kiya,1
ITC ne 52-week high touch kiya...,1
मार्केट ओपन होते ही Tata Motors ke profit me acchi growth aayi,1
"रिपोर्ट्स के अनुसार, HDFC Bank me bohot bekwali hui aaj...",0
टाटा मोटर्स के Q3 नतीजे शानदार रहे...,1
SBI me panic selling dekhne ko mili.,0
Experts ka manna hai ki टाटा मोटर्स का मुनाफा 15% घट गया।,0
"रिपोर्ट्स के अनुसार, Infosys का स्टॉक धड़ाम हो गया!",0
मार्केट ओपन होते ही टाटा मोटर्स में आज अच्छी खरीददारी दिखी,1
"रिपोर्ट्स के अनुसार, ICICI Bank stock me lower circuit lag gaya.",0
Experts ka manna hai ki Infosys में भारी गिरावट दर्ज की गई!,0
