id,text,label,label_name,lang,source_type,seed_template_idx
462a6f021971,"विप्रो का शुद्ध लाभ Q1 में 2.7% बढ़ा, विश्लेषक हुए उत्साहित",1,positive,hi,generated,3
e33ba1057bd3,"Analysts का Axis Bank पर 'hold' rating, कोई revision नहीं",0,neutral,hinglish,generated,12
618bebcbd06e,"आईटी सेक्टर में मंदी की आहट, डॉ. रेड्डी सबसे बड़ा लूजर",-1,negative,hi,generated,6
0ac10aba0bf1,"India PMI surge ने auto sector boost किया, Tata Steel 3.2% चढ़ा",1,positive,hinglish,generated,16
dd98e3d4ed4c,"Reliance Industries ने rights issue announce किया steep discount पर, stock गिरा",-1,negative,hinglish,generated,19
04565af4f2b3,"Analysts का Hindustan Unilever पर 'hold' rating, कोई revision नहीं",0,neutral,hinglish,generated,12
d79fa1847def,"RBI policy meeting से पहले energy sector में caution, Hindustan Unilever stable",0,neutral,hinglish,generated,3
0011797809b8,Global markets uncertain — Bajaj Auto in wait-and-watch mode,0,neutral,hinglish,generated,13
4663ef7a96f1,"कच्चे माल की ऊंची लागत से अदानी पोर्ट्स का मार्जिन घटा, शेयर धड़ाम",-1,negative,hi,generated,7
06a32a29c101,आरबीआई की दर कटौती से डॉ. रेड्डी और ऑटो सेक्टर में बड़ी तेजी,1,positive,hi,generated,7
1952f4b975d0,रिलायंस की बाजार हिस्सेदारी में 3.3% की गिरावट,-1,negative,hi,generated,15
1233e763d123,"Global cues positive, TCS में buying ka momentum strong है",1,positive,hinglish,generated,0
a08ca06556d8,Poor monsoon forecast ने Hindalco की earnings outlook को hurt किया,-1,negative,hinglish,generated,0
cdfab0d1ace5,"एफआईआई की बिकवाली से मारुति सुजुकी में भारी गिरावट, 7.5% नुकसान",-1,negative,hi,generated,3
c2826bb8d549,Market मंदी में ONGC ने 7.5% का नुकसान दिया इस week,-1,negative,hinglish,generated,14
770f0eae9dd0,"आरबीआई की सख्त नीति से एचसीएल टेक पर दबाव, 3.7% की गिरावट",-1,negative,hi,generated,8
cedb6779b27c,"Analysts का Tata Motors पर 'hold' rating, कोई revision नहीं",0,neutral,hinglish,generated,12
9b58d27e9f13,"Budget expectations से banking sector flat, Hindustan Unilever कोई बड़ी move नहीं",0,neutral,hinglish,generated,11
57e427a27b2e,निफ्टी 50 स्थिर: अल्ट्राटेक सीमेंट में सीमित दायरे में कारोबार,0,neutral,hi,generated,2
7b852299e88b,"Wipro का share 1.8% ऊपर गया, Q3 results ने सबको चौंकाया",1,positive,hinglish,generated,1
4ad23a395b6a,"Audit concerns raised for IndusInd Bank, investors को घबराहट",-1,negative,hinglish,generated,13
70cd2d1fe5d4,"बैंकिंग सेक्टर सेक्टर में मिश्रित संकेत, सन फार्मा स्थिर",0,neutral,hi,generated,5
199c598c37e6,"एनटीपीसी के शेयर सपाट, बाजार Q1 नतीजों का इंतजार कर रहा है",0,neutral,hi,generated,1
c0af509548ae,Wipro 200-day moving average पर support ले रहा है,0,neutral,hinglish,generated,6
6d1e4316aca2,"ICICI Bank shares flat हैं, market Q1 results का wait कर रहा है",0,neutral,hinglish,generated,1
1e447028ae27,"एशियन पेंट्स का निर्यात इतिहास के उच्चतम स्तर पर, शेयर में जोरदार तेजी",1,positive,hi,generated,11
49529d028e0a,मुद्रास्फीति में गिरावट: एनर्जी सेक्टर में एशियन पेंट्स सबसे बड़ा फायदेमंद,1,positive,hi,generated,19
ff630fbda280,"Tech Mahindra का dividend announce हुआ, market में positivity छाई",1,positive,hinglish,generated,6
094efaa66c0d,"Audit concerns raised for SBI Life, investors को घबराहट",-1,negative,hinglish,generated,13
3b8da3f60f44,बाजार विश्लेषकों ने ओएनजीसी का लक्ष्य मूल्य बढ़ाया,1,positive,hi,generated,18
46e09c200be3,Disappointing earnings: HCL Technologies revenue miss + margin miss double whammy,-1,negative,hinglish,generated,9
b6043501aeab,"Analysts का IndusInd Bank पर 'hold' rating, कोई revision नहीं",0,neutral,hinglish,generated,12
09ce5d2e5219,"Global cues positive, ICICI Bank में buying ka momentum strong है",1,positive,hinglish,generated,0
7d02c31b02f6,"एक्सिस बैंक के शेयर 2.7% उछले, मजबूत तिमाही नतीजों ने दिया बड़ा सहारा",1,positive,hi,generated,1
c7d2236872a0,"जेएसडब्ल्यू स्टील का शुद्ध लाभ Q2 में 2.7% बढ़ा, विश्लेषक हुए उत्साहित",1,positive,hi,generated,3
5742ef52b895,शेयर बाजार में रौनक: डॉ. रेड्डी ने ऊपरी सर्किट लगाया,1,positive,hi,generated,0
2afe6597c3c9,"विप्रो के शेयर सपाट, बाजार Q2 नतीजों का इंतजार कर रहा है",0,neutral,hi,generated,1
8bf5369fb6f4,"SBI Life का share 1.6% गिरा, weak Q3 results से investors निराश",-1,negative,hinglish,generated,1
5277ead8073c,"नेस्ले का मुनाफा 1.2% घटा, विश्लेषकों ने 'सेल' रेटिंग दी",-1,negative,hi,generated,2
c8f5e328f5e0,Poor monsoon forecast ने Reliance Industries की earnings outlook को hurt किया,-1,negative,hinglish,generated,0
98ba6d55c4bc,मैनेजमेंट ने ओएनजीसी का वार्षिक मार्गदर्शन अपरिवर्तित रखा,0,neutral,hi,generated,0
5f8db228aa83,ग्लोबल मंदी की आशंका से एफएमसीजी सेक्टर सेक्टर में अल्ट्राटेक सीमेंट पिछड़ा,-1,negative,hi,generated,13
2c5feb37eb66,"Grasim Industries को regulatory action का सामना, stock tanked 8.6%",-1,negative,hinglish,generated,10
343a877da5d1,बाजार विश्लेषकों ने रिलायंस का लक्ष्य मूल्य बढ़ाया,1,positive,hi,generated,18
834f2983bdca,बाजार विश्लेषकों ने टाइटन का लक्ष्य मूल्य बढ़ाया,1,positive,hi,generated,18
91fa8fc2da5d,"मजबूत जीडीपी आंकड़ों से बाजार में जोश, एचडीएफसी बैंक 7.2% ऊपर",1,positive,hi,generated,9
4b605db62fa9,"Asian Paints promoter pledge बढ़ी, investor confidence हिला",-1,negative,hinglish,generated,8
19b0f47a2d1a,"Grasim Industries market share 2.9% घटी, competition बढ़ा, stock दबाव में",-1,negative,hinglish,generated,15
988d048a1cf8,Bajaj Auto ने FY25 Q4 में analyst estimates को beat किया,1,positive,hinglish,generated,11
f0f475691e93,"डॉ. रेड्डी का कर्ज रिकॉर्ड स्तर पर, रेटिंग एजेंसी ने आउटलुक नेगेटिव किया",-1,negative,hi,generated,14
0fc49cb23f93,बजट पूर्व सत्र में टाइटन और टेलीकॉम सेक्टर सीमित दायरे में,0,neutral,hi,generated,13
08c9d1dce561,खराब मानसून अनुमान ने रिलायंस की संभावनाओं पर पानी फेरा,-1,negative,hi,generated,19
6666e72951a9,"SEBI notice के बाद Bajaj Finance में panic selling, 5.3% की गिरावट",-1,negative,hinglish,generated,4
534c7921413f,"एफएमसीजी सेक्टर में मंदी की आहट, पावर ग्रिड सबसे बड़ा लूजर",-1,negative,hi,generated,6
91d8be7e48bf,"Sun Pharma का debt level record high, rating agency ने outlook negative किया",-1,negative,hinglish,generated,12
f7b74eb44991,"सिप्ला के शेयर सपाट, बाजार Q4 नतीजों का इंतजार कर रहा है",0,neutral,hi,generated,1
24a68f18b479,"भारती एयरटेल ने FY24 में रिकॉर्ड राजस्व दर्ज किया, शेयर नई ऊंचाई पर",1,positive,hi,generated,4
ba91eeb79e6d,Disappointing earnings: Hindustan Unilever revenue miss + margin miss double whammy,-1,negative,hinglish,generated,9
9736a43a3b8a,मजबूत macro data से Bajaj Finance और पूरे pharma sector में तेजी,1,positive,hinglish,generated,12
9585441ea052,"टेलीकॉम सेक्टर सेक्टर में मिश्रित संकेत, एचडीएफसी बैंक स्थिर",0,neutral,hi,generated,5
a4ba284de9eb,"एफआईआई की बिकवाली से टीसीएस में भारी गिरावट, 4.1% नुकसान",-1,negative,hi,generated,3
2b1b643f3837,"Bullish sentiment: TCS में 8.3% की तेजी, brokerage target बढ़ाई",1,positive,hinglish,generated,5
bf2563b7a62d,Dr Reddys 200-day moving average पर support ले रहा है,0,neutral,hinglish,generated,6
19cfcca30727,सिप्ला प्रमोटर की हिस्सेदारी गिरवी से निवेशक चिंतित,-1,negative,hi,generated,9
874da8ecf85d,"अप्रैल में सिप्ला की बिक्री 5.0% उछली, बाजार का सेंटिमेंट बुलिश",1,positive,hi,generated,16
360565f5bbf7,"Bullish sentiment: Tata Motors में 6.1% की तेजी, brokerage target बढ़ाई",1,positive,hinglish,generated,5
755ede705be6,"Sun Pharma promoter pledge बढ़ी, investor confidence हिला",-1,negative,hinglish,generated,8
e97733b23939,"अल्ट्राटेक सीमेंट को बड़ा सरकारी अनुबंध मिला, बाजार में जोरदार उत्साह",1,positive,hi,generated,6
dbfeb12df06a,कमजोर मांग के संकेत से टाइटन का शेयर 4.5% लुढ़का,-1,negative,hi,generated,5
84896dbdf5d4,विप्रो की बाजार हिस्सेदारी में 3.3% की गिरावट,-1,negative,hi,generated,15
d1e76041e31c,"RBI की hawkish policy से renewable energy sector hit, Dr Reddys biggest loser",-1,negative,hinglish,generated,18
ccb499591a2c,"Wipro board meeting होगी Friday को, कोई major announcement नहीं",0,neutral,hinglish,generated,4
225d2aa693c9,"मेटल सेक्टर सेक्टर में मिश्रित संकेत, जेएसडब्ल्यू स्टील स्थिर",0,neutral,hi,generated,5
ef827fa4925f,"Technical charts पर Cipla neutral zone में है, RSI 50 के पास",0,neutral,hinglish,generated,10
62ff826db403,"बैंकिंग सेक्टर सेक्टर में मिश्रित संकेत, एचडीएफसी बैंक स्थिर",0,neutral,hi,generated,5
9126a73a4f9a,"अप्रैल में सिप्ला की बिक्री 6.1% उछली, बाजार का सेंटिमेंट बुलिश",1,positive,hi,generated,16
bb003d85c74f,खराब मानसून अनुमान ने एनटीपीसी की संभावनाओं पर पानी फेरा,-1,negative,hi,generated,19
6d0cda6294e0,मजबूत macro data से L&T और पूरे cement sector में तेजी,1,positive,hinglish,generated,12
54c5b470fb56,"BPCL का dividend announce हुआ, market में positivity छाई",1,positive,hinglish,generated,6
635a37fb362e,"सरकारी नीति में बदलाव से आईटी सेक्टर पर मार, एशियन पेंट्स 1.2% नीचे",-1,negative,hi,generated,17
bcc48ee3468f,"Budget expectations से cement sector flat, IndusInd Bank कोई बड़ी move नहीं",0,neutral,hinglish,generated,11
1baef529e545,"Tata Motors का dividend announce हुआ, market में positivity छाई",1,positive,hinglish,generated,6
3de466732582,"निफ्टी 50 में नेस्ले आज सबसे बड़ा गेनर, 7.2% की भारी बढ़त",1,positive,hi,generated,12
ffb18505253f,"टेलीकॉम सेक्टर सेक्टर में मिश्रित संकेत, एनटीपीसी स्थिर",0,neutral,hi,generated,5
2e8c7c1d07fc,कोटक महिंद्रा बैंक में संस्थागत निवेशकों की हिस्सेदारी अपरिवर्तित,0,neutral,hi,generated,10
5051041c11ae,"पावर ग्रिड का वॉल्यूम 10-दिन के औसत से कम, दिशा का इंतजार",0,neutral,hi,generated,12
9732ad80957a,"नेस्ले के शेयर 1.5% उछले, मजबूत तिमाही नतीजों ने दिया बड़ा सहारा",1,positive,hi,generated,1
0ef15bee763d,"आईसीआईसीआई बैंक के शेयर 4.5% टूटे, कमजोर नतीजों ने बाजार को निराश किया",-1,negative,hi,generated,1
45d9d46080b4,टाटा मोटर्स का Q1 नतीजा बाजार की उम्मीद से काफी कमजोर,-1,negative,hi,generated,10
4d2f572327ed,"ONGC ने इस quarter में record profit book किया, investors खुश",1,positive,hinglish,generated,2
71981c4b225e,"Credit rating upgrade मिली IndusInd Bank को, bond और equity दोनों ऊपर",1,positive,hinglish,generated,19
93ad767e5c8c,"Eicher Motors subsidiary का IPO 30x oversubscribed, parent भी चढ़ा",1,positive,hinglish,generated,17
1baa76e0ce22,"टाइटन के शेयर 1.5% उछले, मजबूत तिमाही नतीजों ने दिया बड़ा सहारा",1,positive,hi,generated,1
0128ff9384c9,Britannia का FY26 annual guidance unchanged रहा,0,neutral,hinglish,generated,9
ec01733759a1,"एसबीआई के शेयर सपाट, बाजार Q3 नतीजों का इंतजार कर रहा है",0,neutral,hi,generated,1
4be43438d1d8,"Market में sideways trend, Shree Cement में कोई fresh trigger नहीं",0,neutral,hinglish,generated,7
10db3b5b6f27,"RBI की hawkish policy से auto sector hit, Bajaj Auto biggest loser",-1,negative,hinglish,generated,18
074c06caaa9a,Disappointing earnings: Pidilite Industries revenue miss + margin miss double whammy,-1,negative,hinglish,generated,9
d2143f1119be,"FII selling से Apollo Hospitals crash, 3.7% की भारी गिरावट",-1,negative,hinglish,generated,2
