Text,MuRIL_Pred,MuRIL_Conf,DistilBERT-Multilingual (Fallback)_Pred,DistilBERT-Multilingual (Fallback)_Conf
रिलायंस के मुनाफे में 20% का उछाल।,POSITIVE,0.501,POSITIVE,0.438
"TCS ke Q3 results bekar aaye, stock gir gaya.",POSITIVE,0.501,POSITIVE,0.55
HDFC बैंक ने ब्याज दरों में कोई बदलाव नहीं किया।,POSITIVE,0.501,NEGATIVE,0.37
Market crash hone ke chances zyada lag rahe hain aaj.,POSITIVE,0.501,POSITIVE,0.491
इंफोसिस को अमेरिका से बड़ा प्रोजेक्ट मिला है।,POSITIVE,0.501,POSITIVE,0.524
"SBI ki NPAs badh gayi, jiska asar profit par pada.",POSITIVE,0.501,NEGATIVE,0.54
बजट के बाद शेयर बाजार में भारी गिरावट दर्ज की गई।,POSITIVE,0.501,POSITIVE,0.531
Adani Group stocks me aaj jabardast tezi dekhne ko mili.,POSITIVE,0.501,POSITIVE,0.399
निफ्टी 50 ने आज 22000 का अहम स्तर पार किया।,POSITIVE,0.501,POSITIVE,0.51
"Inflation data disappoints, market sentiment turns bearish.",POSITIVE,0.501,NEGATIVE,0.67
रिलायंस के मुनाफे में 20% का उछाल।,POSITIVE,0.501,POSITIVE,0.438
"TCS ke Q3 results bekar aaye, stock gir gaya.",POSITIVE,0.501,POSITIVE,0.55
HDFC बैंक ने ब्याज दरों में कोई बदलाव नहीं किया।,POSITIVE,0.501,NEGATIVE,0.37
Market crash hone ke chances zyada lag rahe hain aaj.,POSITIVE,0.501,POSITIVE,0.491
इंफोसिस को अमेरिका से बड़ा प्रोजेक्ट मिला है।,POSITIVE,0.501,POSITIVE,0.524
"SBI ki NPAs badh gayi, jiska asar profit par pada.",POSITIVE,0.501,NEGATIVE,0.54
बजट के बाद शेयर बाजार में भारी गिरावट दर्ज की गई।,POSITIVE,0.501,POSITIVE,0.531
Adani Group stocks me aaj jabardast tezi dekhne ko mili.,POSITIVE,0.501,POSITIVE,0.399
निफ्टी 50 ने आज 22000 का अहम स्तर पार किया।,POSITIVE,0.501,POSITIVE,0.51
"Inflation data disappoints, market sentiment turns bearish.",POSITIVE,0.501,NEGATIVE,0.67
रिलायंस के मुनाफे में 20% का उछाल।,POSITIVE,0.501,POSITIVE,0.438
"TCS ke Q3 results bekar aaye, stock gir gaya.",POSITIVE,0.501,POSITIVE,0.55
HDFC बैंक ने ब्याज दरों में कोई बदलाव नहीं किया।,POSITIVE,0.501,NEGATIVE,0.37
Market crash hone ke chances zyada lag rahe hain aaj.,POSITIVE,0.501,POSITIVE,0.491
इंफोसिस को अमेरिका से बड़ा प्रोजेक्ट मिला है।,POSITIVE,0.501,POSITIVE,0.524
"SBI ki NPAs badh gayi, jiska asar profit par pada.",POSITIVE,0.501,NEGATIVE,0.54
बजट के बाद शेयर बाजार में भारी गिरावट दर्ज की गई।,POSITIVE,0.501,POSITIVE,0.531
Adani Group stocks me aaj jabardast tezi dekhne ko mili.,POSITIVE,0.501,POSITIVE,0.399
निफ्टी 50 ने आज 22000 का अहम स्तर पार किया।,POSITIVE,0.501,POSITIVE,0.51
"Inflation data disappoints, market sentiment turns bearish.",POSITIVE,0.501,NEGATIVE,0.67
रिलायंस के मुनाफे में 20% का उछाल।,POSITIVE,0.501,POSITIVE,0.438
"TCS ke Q3 results bekar aaye, stock gir gaya.",POSITIVE,0.501,POSITIVE,0.55
HDFC बैंक ने ब्याज दरों में कोई बदलाव नहीं किया।,POSITIVE,0.501,NEGATIVE,0.37
Market crash hone ke chances zyada lag rahe hain aaj.,POSITIVE,0.501,POSITIVE,0.491
इंफोसिस को अमेरिका से बड़ा प्रोजेक्ट मिला है।,POSITIVE,0.501,POSITIVE,0.524
"SBI ki NPAs badh gayi, jiska asar profit par pada.",POSITIVE,0.501,NEGATIVE,0.54
बजट के बाद शेयर बाजार में भारी गिरावट दर्ज की गई।,POSITIVE,0.501,POSITIVE,0.531
Adani Group stocks me aaj jabardast tezi dekhne ko mili.,POSITIVE,0.501,POSITIVE,0.399
निफ्टी 50 ने आज 22000 का अहम स्तर पार किया।,POSITIVE,0.501,POSITIVE,0.51
"Inflation data disappoints, market sentiment turns bearish.",POSITIVE,0.501,NEGATIVE,0.67
रिलायंस के मुनाफे में 20% का उछाल।,POSITIVE,0.501,POSITIVE,0.438
"TCS ke Q3 results bekar aaye, stock gir gaya.",POSITIVE,0.501,POSITIVE,0.55
HDFC बैंक ने ब्याज दरों में कोई बदलाव नहीं किया।,POSITIVE,0.501,NEGATIVE,0.37
Market crash hone ke chances zyada lag rahe hain aaj.,POSITIVE,0.501,POSITIVE,0.491
इंफोसिस को अमेरिका से बड़ा प्रोजेक्ट मिला है।,POSITIVE,0.501,POSITIVE,0.524
"SBI ki NPAs badh gayi, jiska asar profit par pada.",POSITIVE,0.501,NEGATIVE,0.54
बजट के बाद शेयर बाजार में भारी गिरावट दर्ज की गई।,POSITIVE,0.501,POSITIVE,0.531
Adani Group stocks me aaj jabardast tezi dekhne ko mili.,POSITIVE,0.501,POSITIVE,0.399
निफ्टी 50 ने आज 22000 का अहम स्तर पार किया।,POSITIVE,0.501,POSITIVE,0.51
"Inflation data disappoints, market sentiment turns bearish.",POSITIVE,0.501,NEGATIVE,0.67
