text,label
आज Reliance में बिकवाली का दबाव दिखा।,0
"रिपोर्ट्स के अनुसार, ICICI Bank par RBI ne strict action liya.",0
आज एचडीएफसी ke shares crash ho gaye!,0
मार्केट ओपन होते ही एचडीएफसी ki rating downgrade ki gayi!,0
इन्फोसिस के मुनाफे में भारी उछाल!,1
Reliance पर सेबी ने जुर्माना लगाया...,0
मार्केट ओपन होते ही Bharti Airtel ने बाजार को सपोर्ट किया,1
Experts ka manna hai ki HDFC Bank me bohot bekwali hui aaj!,0
आज एसबीआई ने बाजार को सपोर्ट किया।,1
आज Mahindra & Mahindra me panic selling dekhne ko mili...,0
Breaking: Sun Pharma में आज अच्छी खरीददारी दिखी...,1
मार्केट ओपन होते ही एसबीआई ki rating downgrade ki gayi.,0
Breaking: Infosys ने निवेशकों को मालामाल किया,1
आज इन्फोसिस के मुनाफे में भारी उछाल!,1
Reliance ने निवेशकों को मालामाल किया...,1
मार्केट ओपन होते ही ICICI Bank ki aamdani me bhot badhotri hui!,1
"रिपोर्ट्स के अनुसार, Reliance का मुनाफा 15% घट गया.",0
आज एसबीआई के मुनाफे में भारी उछाल!,1
मार्केट ओपन होते ही Adani Enterprises का मुनाफा 20% बढ़ा!,1
मार्केट ओपन होते ही Sun Pharma का मुनाफा 15% घट गया,0
एचडीएफसी में भारी गिरावट दर्ज की गई...,0
आज Bharti Airtel का मुनाफा 20% बढ़ा.,1
Breaking: एचडीएफसी में जबरदस्त तेजी देखने को मिली,1
आज TCS me panic selling dekhne ko mili,0
"रिपोर्ट्स के अनुसार, ICICI Bank me strong buying momentum hai।",1
ICICI Bank ke profit me acchi growth aayi.,1
मार्केट ओपन होते ही Reliance के Q3 नतीजे शानदार रहे!,1
Experts ka manna hai ki L&T को बड़ा प्रोजेक्ट मिला...,1
आज L&T me strong buying momentum hai।,1
"रिपोर्ट्स के अनुसार, SBI ke shares crash ho gaye",0
Tata Motors का मुनाफा 15% घट गया।,0
Experts ka manna hai ki HDFC Bank ने निवेशकों को मालामाल किया.,1
Breaking: Bharti Airtel me panic selling dekhne ko mili!,0
मार्केट ओपन होते ही Infosys ki rating downgrade ki gayi।,0
"रिपोर्ट्स के अनुसार, टाटा मोटर्स में भारी गिरावट दर्ज की गई।",0
Experts ka manna hai ki L&T का मुनाफा 15% घट गया!,0
आज L&T में जबरदस्त तेजी देखने को मिली.,1
Breaking: एसबीआई ko naya contract mila hai.,1
Mahindra & Mahindra me jabardast rally dekhi gayi।,1
Experts ka manna hai ki Maruti Suzuki पर सेबी ने जुर्माना लगाया.,0
