id,text,label,label_name,lang,source_type,seed_template_idx
d5f244b1ac28,Budget highlights boost infrastructure — Shree Cement gains 8.3%,1,positive,en,generated,27
b0372aa43e95,Eicher Motors audit qualifications raise accounting concerns; stock hammered,-1,negative,en,generated,19
9dbc0f7f13fd,India markets open flat; Bajaj Auto moves in line with benchmark,0,neutral,en,generated,9
8fe16f8132de,Tech Mahindra global expansion plan cheers investors; stock surges,1,positive,en,generated,14
e9dc586efe67,"Shree Cement announces dividend payout, stock gains 4.2%",1,positive,en,generated,10
20631fae43e2,Budget allocations for pharma sector broadly in line with expectations; ONGC unmoved,0,neutral,en,generated,14
f9c35b8aa299,HCL Technologies capacity expansion on track; production numbers beat forecast,1,positive,en,generated,29
c7756a5796cb,SBI board meeting to approve quarterly accounts on Friday,0,neutral,en,generated,8
4c1ebb0b5751,"India trade deficit widens to record high, hurting cement sector and Adani Enterprises",-1,negative,en,generated,20
27d446fe38c7,Apollo Hospitals audit qualifications raise accounting concerns; stock hammered,-1,negative,en,generated,19
b7e99a35ff50,Credit rating upgrade for HCL Technologies lifts debt and equity,1,positive,en,generated,25
36c45366e519,"Dr Reddys announces dividend payout, stock gains 2.3%",1,positive,en,generated,10
e9fa9cc9d3c0,China slowdown hits Hindustan Unilever export revenues; stock dips 1.2%,-1,negative,en,generated,28
eb01b77ce6a1,RBI keeps repo rate unchanged at 6.5%; SBI Life sees no reaction,0,neutral,en,generated,15
9864a3de5968,China slowdown hits Maruti Suzuki export revenues; stock dips 2.4%,-1,negative,en,generated,28
d8bd6ade14e9,Budget highlights boost infrastructure — Cipla gains 3.2%,1,positive,en,generated,27
399b10f7dce6,India PMI at 5-year high; telecom sector stocks including Hindalco surge,1,positive,en,generated,0
be35fa88767f,"India trade deficit widens to record high, hurting FMCG sector and Bajaj Finance",-1,negative,en,generated,20
e6a0a1385e63,Credit rating of SBI Life affirmed at AA+; no change in outlook,0,neutral,en,generated,26
6f27710817d8,JSW Steel misses revenue and profit estimates; stock drops 4.1%,-1,negative,en,generated,12
d768bb6932f0,"Nifty bears take control — Sun Pharma among top losers, down 2.4%",-1,negative,en,generated,16
394405807822,Axis Bank audit qualifications raise accounting concerns; stock hammered,-1,negative,en,generated,19
8b95281cfe92,Bullish outlook for JSW Steel as revenue growth exceeds analyst expectations,1,positive,en,generated,3
a0e8454e1b88,Eicher Motors secures $1 billion deal; shares hit upper circuit,1,positive,en,generated,18
ad65dcb6a4a2,Bharti Airtel trading at 52-week average; market digests Q2 numbers,0,neutral,en,generated,6
a7f9f20eb698,RBI rate cut boosts Tech Mahindra and broader metals sector,1,positive,en,generated,11
1bd370f3c6d8,Moderate FII buying in pharma sector; Hindalco stable near 200-day moving average,0,neutral,en,generated,21
0cf824ee9bd1,Hindustan Unilever surges 3.4% after strong Q3 FY24 earnings beat estimates,1,positive,en,generated,1
f15b40656318,Pollution shutdown order hits Bharti Airtel plant; production disrupted,-1,negative,en,generated,0
cf518bbb1055,China slowdown hits L&T export revenues; stock dips 3.7%,-1,negative,en,generated,28
2e30f670a64c,Maruti Suzuki AGM resolution on dividend to be taken next week,0,neutral,en,generated,17
a579a1eeddb0,"High valuations, weak demand outlook weigh on Nestle India",-1,negative,en,generated,18
7c94a6847a47,Strong GST collection data boosts cement sector stocks led by Coal India,1,positive,en,generated,15
837d7a18531b,Credit downgrade hits Bajaj Auto bonds; equity follows suit,-1,negative,en,generated,9
cc906ae57476,Divis Laboratories holds its recent range; no fresh news ahead of results,0,neutral,en,generated,22
62cb01b897c9,Pollution shutdown order hits Dr Reddys plant; production disrupted,-1,negative,en,generated,0
6a7f10430d48,Hero MotoCorp falls 5.3% after FIIs dump shares in large block deal,-1,negative,en,generated,4
5326190cb17c,Mixed signals from Asian Paints: revenue beats but margins slightly miss,0,neutral,en,generated,5
eda24344bf6f,L&T surges 1.8% after strong Q2 FY23 earnings beat estimates,1,positive,en,generated,1
78ffe08d1a3a,India markets open flat; BPCL moves in line with benchmark,0,neutral,en,generated,9
25b162d3632e,"Reliance Industries loses market share in key segment, volumes decline 18%",-1,negative,en,generated,24
468c5b4424d1,NTPC volume dull as market awaits RBI policy decision,0,neutral,en,generated,2
850b1d8be54a,"Titan Company beats street estimates on all key metrics, stock up 3.4%",1,positive,en,generated,20
75c7ef0afd0b,"Promoter pledging in Maruti Suzuki spooks investors, stock down 3.3%",-1,negative,en,generated,13
2f709e2f5512,"India trade deficit widens to record high, hurting financial services sector and Divis Laboratories",-1,negative,en,generated,20
11f72907f2bf,Rebound in global markets drives TCS up 3.4%,1,positive,en,generated,23
cccece219cc6,ONGC gets NCLT approval for subsidiary merger; impact neutral,0,neutral,en,generated,13
bdfa65b2671c,Divis Laboratories shares jump 4.2% as net profit rises significantly year-on-year,1,positive,en,generated,2
c52c7f4f0f91,"SBI moving in line with IT sector index, no stock-specific trigger",0,neutral,en,generated,23
ca7478e3cff1,Strong GST collection data boosts banking sector stocks led by IndusInd Bank,1,positive,en,generated,15
b89eff53c36d,SEBI approves BPCL buyback plan; shares rally 3.9%,1,positive,en,generated,16
a51880577ab3,Nifty 50 flat amid global uncertainty; Pidilite Industries holds key support,0,neutral,en,generated,11
0312c50adfb3,Budget allocations for cement sector broadly in line with expectations; JSW Steel unmoved,0,neutral,en,generated,14
7dfcf8bea59c,Budget allocations for telecom sector broadly in line with expectations; SBI Life unmoved,0,neutral,en,generated,14
c7c185fdfcc6,Budget allocations for telecom sector broadly in line with expectations; Pidilite Industries unmoved,0,neutral,en,generated,14
278cfd280066,Tata Consumer technical charts show neutral pattern; RSI at 50,0,neutral,en,generated,29
51c024502e68,"Tata Motors moving in line with pharma sector index, no stock-specific trigger",0,neutral,en,generated,23
59c1995b0145,Earnings season disappointment: Hindalco profit falls 25% YoY,-1,negative,en,generated,17
0149ade09ce6,Recovery in rural demand lifts Britannia FMCG volumes by 12%,1,positive,en,generated,28
337092fc72ea,Credit rating of Divis Laboratories affirmed at AA+; no change in outlook,0,neutral,en,generated,26
a809310af3ac,Asian Paints debt levels rise sharply; leverage concerns emerge,-1,negative,en,generated,26
e9cebc0e594d,Maruti Suzuki surges 1.5% after strong Q4 FY23 earnings beat estimates,1,positive,en,generated,1
