ticker,label,language,news_input,expected_polarity,sentiment_polarity,pos,neg,neu,net_sentiment,expected_model_output,actual_model_output,match_expected,raw_direction,probability_up,variance,confidence,latest_price_date_used,effective_window,explanation
BHARTIARTL,Strong positive infrastructure expansion,en,"Bharti Airtel expands 5G footprint with 4,300 new sites in Eastern Uttar Pradesh, improving network coverage across urban and rural markets.",Positive,Positive,0.951,0.0141,0.0348,0.9369,UP,UP,True,UP,0.8441,0.0016,0.6871,2026-01-29,14,Direct capex-driven network expansion signals revenue growth potential; unambiguously positive for Bharti Airtel.
SBIN,Positive pre-results brokerage support,en,Q4 results se pehle PSU banks par brokerages bullish hain; healthy business updates aur better credit momentum ki wajah se SBI par buying advice di gayi hai.,Positive,Positive,0.9461,0.0199,0.034,0.9262,UP,UP,True,UP,0.8078,0.0013,0.6147,2026-01-29,15,Hinglish headline conveying bullish brokerage consensus on SBI ahead of Q4; sentiment is clearly positive with buy recommendation.
ICICIBANK,Positive policy-linked bank rerating,en,"RBI ne policy rate hold ki, jiske baad banking shares mein rally dekhi gayi; ICICI Bank ko rate-sensitive recovery theme ka beneficiary bataya gaya.",Positive,Positive,0.777,0.1056,0.1174,0.6715,UP,UP,True,UP,0.8512,0.0022,0.7008,2026-01-29,12,"Hinglish headline: RBI rate hold expected to spur banking rally; ICICI Bank named as key beneficiary, which is stock-specific positive."
NTPC,Policy support with direct order visibility,en,"Government announces ₹12,000 crore thermal capacity addition plan; NTPC likely to be the anchor developer for three new coal-based units.",Positive,Positive,0.8118,0.0086,0.1797,0.8032,UP,LOW-CONFIDENCE DOWN,False,DOWN,0.4602,0.003,0.0793,2026-01-29,9,Direct order pipeline for NTPC from government policy; capacity addition translates to future earnings growth — clearly positive.
BAJFINANCE,Brokerage positive with caveats,en,"Goldman Sachs retains a Buy on Bajaj Finance, citing execution strength and AUM growth visibility despite mixed consumer lending trends.",Positive,Positive,0.9177,0.0121,0.0702,0.9055,LOW-CONFIDENCE UP,UP,False,UP,0.8201,0.0012,0.6394,2026-01-29,12,"Buy rating is positive, but 'despite mixed trends' introduces uncertainty. Model should lean UP but with lower confidence."
INFY,Strong sector-level negative for IT,en,"Zoho founder says the Indian IT sector is struggling not only because of AI and tariffs, but also because of weak product depth and service inefficiency.",Negative,Negative,0.0097,0.9715,0.0189,-0.9618,DOWN,DOWN,True,DOWN,0.3911,0.0028,0.2171,2026-01-29,13,Broad negative critique of the IT sector from a credible industry voice; structural weakness claim affects sentiment for Infosys directly.
BHARTIARTL,Market-led negative tone,en,"Market-cap erosion among top Indian firms was led by Bharti Airtel, which emerged as the biggest laggard in a weak holiday-shortened week.",Negative,Negative,0.0123,0.9718,0.016,-0.9595,DOWN,DOWN,True,DOWN,0.315,0.0019,0.3693,2026-01-29,14,Stock named as the biggest laggard with market-cap erosion — directly negative signal with no offsetting positive factor.
RELIANCE,Governance and regulatory overhang,en,"CAG says BSNL failed to recover infrastructure-sharing dues from Reliance Jio for years, leading to a large loss to the government.",Negative,Negative,0.013,0.9685,0.0185,-0.9556,DOWN,DOWN,True,DOWN,0.3574,0.0021,0.2846,2026-01-29,11,Regulatory / governance concern involving a government audit finding; negative overhang even if not an immediate earnings hit.
TATASTEEL,Macro risk-off with metals pressure,en,"Sensex mein 500+ points ki girawat ke beech metals par pressure bana, geopolitics aur oil spike ki wajah se Tata Steel jaise cyclical names weak mood mein rahe.",Negative,Negative,0.0388,0.2931,0.668,-0.2543,DOWN,DOWN,True,DOWN,0.3904,0.0022,0.2186,2026-01-29,12,Hinglish headline: broad market selloff with metals under pressure due to geopolitics and oil spike. Tata Steel named as weak — unambiguously negative.
WIPRO,Mixed results with forward guidance,en,"Wipro ke Q4 results mein revenue growth flat rahi, lekin management ne FY27 mein AI-led deals se recovery ka guidance diya hai.",Mixed,Positive,0.8163,0.0559,0.1278,0.7603,LOW-CONFIDENCE UP,UP,False,UP,0.7906,0.0033,0.5793,2026-01-29,8,Hinglish: weak current-quarter results (flat revenue) offset by optimistic forward guidance. Opposing signals should yield mixed polarity and low confidence.
ONGC,"Mixed macro, stock-specific negative",en,"Crude oil crashes nearly 16%; while lower oil eases inflation concerns for the economy, it clouds near-term realization outlook for upstream producers like ONGC.",Mixed,Positive,0.668,0.3095,0.0225,0.3584,LOW-CONFIDENCE DOWN,DOWN,False,DOWN,0.3196,0.0018,0.3601,2026-01-29,11,"Macro-positive (lower inflation) but stock-specific negative (lower realizations for ONGC). Conflicting signals should produce mixed polarity, leaning DOWN."
ITC,Constructive macro but indirect,en,ITC chairman says India is better placed to manage US tariff disruption and may benefit from an early bilateral trade agreement.,Positive,Positive,0.9524,0.0198,0.0277,0.9326,LOW-CONFIDENCE UP,UP,False,UP,0.7637,0.003,0.5259,2026-01-29,13,"Positive macro outlook from company leadership, but no direct earnings catalyst mentioned. Sentiment is positive but impact is indirect, warranting lower confidence."
HDFCBANK,Weak positive technical signal,en,"Top Technical Picks mein HDFC Bank ko weak market ke bawajood strong setup wala stock bataya gaya, even as broader indices stayed under pressure.",Mixed,Positive,0.7673,0.1975,0.0352,0.5698,LOW-CONFIDENCE UP,LOW-CONFIDENCE DOWN,False,DOWN,0.4835,0.0039,0.0329,2026-01-29,11,Hinglish: stock named as a technical pick despite weak market. Positive for HDFC Bank but the bearish broader context creates mixed sentiment with low confidence.
KOTAKBANK,Ambiguous pre-results question,en,"Should investors buy Kotak Mahindra Bank ahead of Q4 results, or is the asset-quality risk still too large to ignore?",Mixed,Mixed,0.0432,0.0666,0.8901,-0.0234,ABSTAIN,DOWN,False,DOWN,0.3462,0.0022,0.3068,2026-01-29,10,Rhetorical question with no directional stance; buy opportunity vs. asset-quality risk creates maximum ambiguity. Model should abstain.
POWERGRID,"Weak, ambiguous corporate update",en,"Power Grid Corporation employees may receive a performance-linked reward ahead of the festive season, though the direct earnings impact remains unclear.",Mixed,Positive,0.9347,0.0193,0.0461,0.9154,ABSTAIN,UP,False,UP,0.768,0.0023,0.5349,2026-01-29,12,Minor corporate HR update with no material earnings impact. Insufficiently directional for a trading signal — model should abstain.
BPCL,Positive fundamentals vs. policy risk,en,"BPCL ki refining margins mein tezi aayi hai global supply cuts ke baad, lekin government ne fuel subsidy ka burden badhane ka ishara diya hai.",Mixed,Positive,0.5514,0.2691,0.1795,0.2824,LOW-CONFIDENCE DOWN,LOW-CONFIDENCE UP,False,UP,0.512,0.0046,0.0239,2026-01-29,13,Hinglish: positive refining margins offset by government subsidy burden signal. Two opposing forces create mixed polarity; subsidy risk typically dominates for OMCs.
SBIN,Regulatory penalty — negative but immaterial,en,RBI imposes ₹1 crore penalty on State Bank of India for non-compliance with KYC norms and customer account regulations.,Negative,Negative,0.0094,0.9526,0.038,-0.9433,LOW-CONFIDENCE DOWN,DOWN,False,DOWN,0.3652,0.0025,0.2689,2026-01-29,15,Regulatory penalty is negative in tone but ₹1Cr is financially immaterial for SBI. Sentiment skews negative but magnitude is too small for high conviction.
RELIANCE,Strong subsidiary earnings beat,en,"Reliance Retail reports record quarterly revenue of ₹78,000 crore, driven by strong store expansion and digital commerce growth across metros and Tier-2 cities.",Positive,Positive,0.9524,0.0159,0.0317,0.9365,UP,UP,True,UP,0.8583,0.0015,0.7156,2026-01-29,11,Record revenue from a key subsidiary with structural growth drivers (store expansion + digital). Unambiguously positive for Reliance Industries.
